Org District,Panchayat First ,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,Target Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha North,1,14,7,10,4,2967,34.44%,39.00,1652,21.40,2552,28.60
Alappuzha South,4,62,25,40,20,15435,32.54%,39.45,10435,26.95,14957,30.39
Kasaragod,3,54,30,34,25,18906,36.35%,42.84,18634,40.87,18041,36.72
Kollam East,1,19,8,12,7,5587,31.21%,39.00,2772,21.50,6040,31.87
Kollam West,1,17,6,12,2,4708,31.98%,39.00,0,29.90,4034,26.50
Kottayam East,1,15,7,9,0,3764,36.40%,39.00,3022,33.90,512,4.77
Kottayam West,2,37,16,19,12,9245,28.19%,35.55,7751,25.65,8339,24.04
Palakkad East,1,19,10,12,7,6782,40.30%,40.10,6318,39.10,5948,34.76
Palakkad West,1,14,8,10,4,2925,35.14%,39.00,9661,26.40,2135,24.88
Pathanamthitta,4,61,28,38,13,15581,33.49%,39.00,14909,34.23,14072,28.48
Thiruvananthapuram North,2,40,21,30,10,13946,35.07%,40.75,13967,38.60,10275,25.23
Thiruvananthapuram South,4,86,40,55,29,31932,33.06%,40.43,33010,37.95,29736,30.85
Thrissur North,1,19,10,13,6,6817,34.48%,39.00,4581,27.90,6150,31.87
Grand Total,26,457,216,294,139,138595,33.69%,39.64,126713,32.60,122791,28.88