Org District,GP First Without Tie,GP First Tie,GP Second Without Tie,GP Second Tie,Municipality First ,Municipality 2nd Without Tie,Municipality 2nd With Tie,Corporation 1st
Alappuzha North,1,2,4,1,0,0,0,0
Alappuzha South,4,0,5,3,0,2,0,0
Ernakulam City,0,0,0,0,1,0,0,0
Ernakulam East,0,0,0,1,0,0,0,0
Ernakulam North,0,1,0,1,0,0,1,0
Idukki North,0,0,2,1,0,1,0,0
Idukki South,0,0,1,0,0,0,0,0
Kannur North,0,0,0,0,0,0,1,0
Kannur South,0,0,1,4,0,0,0,0
Kasaragod,3,3,7,3,0,1,0,0
Kollam East,1,0,3,3,0,0,0,0
Kollam West,1,0,8,0,0,1,0,0
Kottayam East,1,0,3,2,0,0,0,0
Kottayam West,2,0,2,3,0,1,0,0
Kozhikode City,0,0,0,0,0,0,0,0
Kozhikode North,0,0,0,0,0,0,0,0
Kozhikode Rural,0,0,0,0,0,0,0,0
Malappuram Central,0,0,0,0,0,0,0,0
Malappuram East,0,0,0,0,0,0,0,0
Malappuram West,0,0,1,1,0,1,0,0
Palakkad East,1,1,8,2,1,0,0,0
Palakkad West,1,0,2,1,0,2,0,0
Pathanamthitta,4,3,6,9,0,0,0,0
Thiruvananthapuram City,,0,,0,0,0,0,1
Thiruvananthapuram North,2,1,5,3,0,1,1,0
Thiruvananthapuram South,4,1,3,3,0,0,0,0
Thrissur City,0,3,2,3,0,0,0,0
Thrissur North,1,0,1,0,0,0,0,0
Thrissur South,0,0,4,2,0,1,0,0
Wayanad,0,0,0,0,0,0,0,0
Grand Total,26,15,68,46,2,11,3,1