District,Grama Panchayath,,,,,Municipality,,,,,Corporation,,,,,
,Total No.,"Won 
(including ties)","Opposition 
(including ties)",2020 Won,2025 Target,Total No.,"Won 
(including ties)","Opposition 
(including ties)",2020 Won,2025 Target,Total No.,Majority,Won,Opposition,2020,2025 Target
Alappuzha North,39,3,5,1,12,2,-,-,0,0,-,-,-,-,-,-
Alappuzha South,33,4,8,1,18,4,-,2,0,3,-,-,-,-,-,-
Ernakulam City,13,-,-,0,4,3,1,-,0,1,1,-,-,-,-,1
Ernakulam East,36,-,2,0,4,4,-,-,0,0,-,-,-,-,-,-
Ernakulam North,33,1,1,0,9,6,-,1,0,2,-,-,-,-,-,-
Idukki North,24,-,3,0,6,1,-,1,0,1,-,-,-,-,-,-
Idukki South,28,-,1,0,5,1,-,-,0,0,-,-,-,-,-,-
Kannur North,37,-,5,0,0,4,-,-,0,0,1,-,-,-,-,-
Kannur South,34,-,8,0,3,4,-,-,0,2,-,-,-,-,-,-
Kasaragod,38,6,11,5,14,3,-,1,0,1,-,-,-,-,-,-
Kollam East,41,1,6,1,16,2,-,-,0,1,-,-,-,-,-,-
Kollam West,27,1,8,1,15,2,-,1,0,1,1,-,-,-,-,1
Kottayam East,31,1,5,1,15,2,-,-,0,1,-,-,-,-,-,-
Kottayam West,40,2,5,1,14,4,-,1,0,2,-,-,-,-,-,-
Kozhikode City,7,-,-,0,1,2,-,-,0,0,1,-,-,-,-,-
Kozhikode North,36,-,-,0,1,3,-,-,0,0,-,-,-,-,-,-
Kozhikode Rural,27,-,-,0,2,2,-,-,0,0,-,-,-,-,-,-
Malappuram Central,29,-,-,0,0,4,-,-,0,0,-,-,-,-,-,-
Malappuram East,32,-,-,0,0,3,-,-,0,0,-,-,-,-,-,-
Malappuram West,33,-,2,0,2,5,-,1,0,1,-,-,-,-,-,-
Palakkad East,45,2,10,0,11,2,1,-,1,1,-,-,-,-,-,-
Palakkad West,43,1,4,0,7,5,-,2,0,2,-,-,-,-,-,-
Pathanamthitta,53,7,15,4,28,4,-,-,1,2,-,-,-,-,-,-
Thiruvananthapuram City,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1
Thiruvananthapuram North,38,3,8,2,25,3,-,2,0,2,-,-,-,-,-,-
Thiruvananthapuram South,35,5,6,2,23,1,-,-,0,1,-,-,-,-,-,-
Thrissur City,30,3,5,1,17,-,-,-,0,0,1,-,-,-,-,1
Thrissur North,29,1,1,0,7,4,-,-,0,2,-,-,-,-,-,-
Thrissur South,27,-,6,0,13,3,-,1,0,2,-,-,-,-,-,-
Wayanad,23,-,-,0,2,3,-,-,0,0,-,-,-,-,-,-
Total,941,41,125,20,267,86,2,13,2,26,6,0,1,0,1,3